Observation_Day,C_obs,C_pred,C_resid,D_obs,D_pred,D_resid
505.0,0.11821784959177935,0.11838603446400045,0.00016818487222110268,0.0017214958215675553,0.0017192835974980253,-2.2122240695299916e-6
506.0,0.11836728305195114,0.11862276075203317,0.0002554777000820241,0.001722410564734735,0.0017223332900694701,-7.727466526494427e-8
507.0,0.11858420423023486,0.11885171479293946,0.0002675105627046037,0.0017229187553831683,0.0017253661244072595,2.447369024091272e-6
508.0,0.11877998467754376,0.11907306786174074,0.00029308318419697665,0.0017261965850655626,0.0017283780822119432,2.181497146380674e-6
509.0,0.11896999716099295,0.11928701241427225,0.00031701525327930413,0.0017302367007206068,0.001731365288186276,1.1285874656691893e-6
510.0,0.11916178831171165,0.11949375307976824,0.0003319647680565946,0.0017340989496486992,0.0017343240470611512,2.2509741245198452e-7
511.0,0.11922935225842084,0.11969350592943125,0.00046415367101040883,0.0017356489311264206,0.0017372508482123262,1.6019170859056433e-6
512.0,0.11927498777865014,0.11988649847643214,0.0006115106977819945,0.0017365382647611786,0.0017401423656604217,3.6041008992431043e-6
513.0,0.11972308488290614,0.12007296925896363,0.00034988437605748546,0.0017405275613513796,0.0017429954593091877,2.4678979578080743e-6
514.0,0.11991680715808889,0.12025316079709922,0.00033635363901032833,0.0017424332762830041,0.0017458072049011707,3.3739286181666116e-6
515.0,0.12010072135375688,0.12042732134722534,0.00032659999346845714,0.0017452791439142303,0.0017485748938118946,3.2957498976643115e-6
516.0,0.12027167668788981,0.12059570062985626,0.0003240239419664559,0.0017491413928423228,0.001751296021949371,2.154629107048228e-6
517.0,0.12048753066581182,0.12075854801736982,0.00027101735155800333,0.0017523175843950304,0.0017539682922434873,1.650707848456891e-6
518.0,0.12055667000353117,0.12091611253400733,0.0003594425304761645,0.001753257737094632,0.0017565896146460064,3.33187755137453e-6
519.0,0.12059709656961402,0.12106864285587363,0.0004715462862596026,0.0017538929754051735,0.0017591581061305673,5.265130725393792e-6
520.0,0.12097369124963547,0.12121638544365111,0.00024269419401563852,0.0017580093196574826,0.0017616720871386274,3.6627674811448054e-6
521.0,0.12111392645907061,0.12135958163247958,0.00024565517340896514,0.0017590765200191922,0.0017641300849578195,5.053564938627218e-6
522.0,0.12126320746204788,0.12149846896104352,0.00023526149899563698,0.0017622018925070567,0.0017665308226473726,4.328930140315955e-6
523.0,0.12140285825223733,0.12163327918792659,0.00023042093568925726,0.001766597741616004,0.0017688732042220425,2.2754626060384787e-6
