Observation_Day,beta_i_symptomatic,beta_e_asymptomatic,phi_e_prop_asymptomatic,phi_r_recovery,phi_d_mortality,v_vaccination_rate
64.0,3.8283696918411814e-5,0.1270868178941114,0.1667019443881697,0.05728745106259673,0.0013959450139627624,0.002341172279442295
65.0,4.19889402147843e-5,0.12834843703432017,0.16680542899411532,0.05753841132030647,0.0013671987023577902,0.0023334516679981215
66.0,4.6123223440972625e-5,0.1296188073407652,0.16690706061734803,0.05778058631382925,0.0013387709885308973,0.0023255298372940425
67.0,5.0739162088367105e-5,0.1308950286653992,0.167006792845946,0.058013288818449124,0.0013107001562045351,0.002317417616609636
68.0,5.589554912653065e-5,0.13217383295407242,0.16710461433353663,0.058235860876933,0.0012830246340147212,0.0023091283643578383
69.0,6.16579275843761e-5,0.1334515824115547,0.16720055024843822,0.05844768201077663,0.0012557827125761238,0.0023006779983932558
70.0,6.809917061896252e-5,0.1347242732483003,0.1672946631567089,0.058648177240503356,0.0012290122546152896,0.0022920849896339284
71.0,7.530005485265627e-5,0.1359875454673684,0.16738705327376482,0.058836824697991764,0.0012027504046069706,0.0022833703168330935
72.0,8.334980848087753e-5,0.13723669898658977,0.16747785803473136,0.0590131626066365,0.0011770333049140934,0.0022745573814947676
73.0,9.234661069989838e-5,0.13846671619030737,0.1675672509531037,0.05917679540657497,0.0011518958257734112,0.0022656718832496565
74.0,0.00010239801337626574,0.13967229077454324,0.16765543975981198,0.05932739881290789,0.0011273713165394824,0.002256741657429534
75.0,0.00011362124961529092,0.14084786250144,0.16774266383917608,0.05946472361486887,0.0011034913853608802,0.0022477964780112355
76.0,0.00012614338708143407,0.14198765722992066,0.167829191002862,0.05958859805261231,0.0010802857138876114,0.002238867830439539
77.0,0.00014010127675382635,0.1430857313601997,0.16791531366582466,0.059698928644320845,0.001057781912685047,0.0022299886599626215
78.0,0.00015564124054938232,0.14413601964323186,0.16800134450714577,0.059795699377629775,0.0010360054217616592,0.0022211931019010286
79.0,0.00017291843434235357,0.14513238518649343,0.16808761171139988,0.05987896922332774,0.001014979459027876,0.0022125162006032435
80.0,0.0001920958169669046,0.146068670457251,0.16817445389064256,0.05994886797299234,0.0009947250176327632,0.0022039936236180014
81.0,0.0002133426516532343,0.14693874816200578,0.16826221478168507,0.06000559044269592,0.0009752609110336641,0.0021956613767660756
82.0,0.00023683246513396907,0.14773657107707816,0.16835123779708802,0.060049389119520236,0.0009566038624183287,0.0021875555242966576
83.0,0.0002627403927793865,0.14845622022099758,0.16844186048133694,0.06008056535437526,0.0009387686328115572,0.002179711916195118
84.0,0.000291239847281925,0.14909195118231106,0.16853440888723373,0.060099459222578984,0.0009217681799636867,0.0021721659220637073
85.0,0.000322498465547706,0.1496382389198645,0.16862919184427472,0.060106438183180615,0.0009056138380500796,0.002164952167987963
86.0,0.00035667331558898025,0.15008982189468464,0.16872649504473758,0.06010188467095817,0.0008903155064281955,0.00215810426966276
87.0,0.0003939053842066116,0.15044174691727896,0.16882657482973495,0.06008618275478243,0.0008758818343214204,0.0021516545520809892
88.0,0.0004343134184201018,0.15068941653415452,0.168929651523081,0.06005970399740591,0.0008623203874415668,0.002145633743634898
89.0,0.00047798725919580965,0.1508286410587179,0.16903590214259173,0.06002279266055601,0.0008496377823293361,0.0021400706309276
90.0,0.0005249808836094123,0.15085569740075827,0.16914545232361647,0.059975750421822946,0.0008378397746714724,0.0021349916603268597
91.0,0.0005753054573880015,0.1507673966004935,0.16925836732468244,0.05991882081226503,0.0008269312891083561,0.0021304204736708036
92.0,0.0006289227871592082,0.15056116138149722,0.16937464205497654,0.059852173650620774,0.000816916380108499,0.002126377368837362
93.0,0.0006857396409020768,0.15023511408483708,0.16949419017017406,0.05977588984374624,0.00080779811635119,0.0021228786812761764
94.0,0.0007456034633945339,0.14978817405679895,0.16961683242529937,0.05968994704189672,0.0007995783846749678,0.0021199360900621654
95.0,0.0008083000363767026,0.1492201620039726,0.16974228464468458,0.05959420677540578,0.0007922576139184852,0.0021175558613350243
96.0,0.0008735536062147276,0.14853190712196812,0.1698701458582658,0.05948840384417174,0.0007858344237498889,0.0021157380526565122
97.0,0.0009410299132986535,0.1477253511150003,0.16999988734368546,0.05937213886524606,0.0007803052086467695,0.002114475713096018
98.0,0.0010103424014197278,0.1468036417571213,0.17013084348357352,0.05924487498359709,0.0007756636722963549,0.0021137541247366405
99.0,0.0010810616651777255,0.14577120762311838,0.1702622054724532,0.05910593979022212,0.0007719003325361002,0.002113550140565974
100.0,0.0011527279235223425,0.14463380524812955,0.17039301896283873,0.058954533443199876,0.0007690020212156766,0.002113831680054911
101.0,0.0012248660138507235,0.14339853042559517,0.17052218670281344,0.05878974382774861,0.0007669514066821316,0.0021145574458398455
102.0,0.0012970021190639432,0.14207378671060023,0.17064847707171846,0.05861056930622442,0.0007657265686239449,0.0021156769217176253
103.0,0.0013686812095693034,0.14066920644093234,0.17077053916076515,0.058415949197088535,0.0007653006554420919,0.0021171307029418927
104.0,0.0014394840409911597,0.13919552258092016,0.17088692467878283,0.05820480159940527,0.000765641652898621,0.002118851194451943
105.0,0.0015090425239679837,0.13766439317548904,0.17099611651192037,0.05797606758180846,0.0007667122893816754,0.0021207636917573635
106.0,0.0015770523861335418,0.13608818382390622,0.17109656326590017,0.05772876013552825,0.0007684700977189259,0.0021227878340910242
107.0,0.001643282269603794,0.1344797169472549,0.17118671861726653,0.057462015716735385,0.0007708676462417174,0.002124839392179472
108.0,0.0017075787221832335,0.132851999344212,0.17126508384851713,0.057175145746137565,0.0007738529431133848,0.002126832326135679
109.0,0.0017698669048374228,0.13121794129016456,0.17133025159238952,0.05686768516029542,0.0007773700083366137,0.0021286810253554633
110.0,0.001830147203076707,0.12959008103949848,0.17138094860568373,0.05653943507014753,0.0007813595980482858,0.0021303026245578283
111.0,0.001888488249707573,0.1279803279944631,0.17141607536055625,0.056190496802579065,0.0007857600564886737,0.002131619280388816
112.0,0.0019450171054811855,0.12639973611383315,0.1714347403894116,0.05582129507361433,0.0007905082631932136,0.002132560292589898
113.0,0.0019999074827424007,0.12485831658780328,0.1714362876355121,0.0554325887273646,0.0007955406372052537,0.0021330639628282934
114.0,0.002053366932537801,0.12336489572514053,0.17142031551314715,0.055025468305662656,0.0008007941569677257,0.0021330791019926565
115.0,0.002105623859934116,0.12192702073924577,0.17138668692202186,0.054601340603385035,0.00080620735428341,0.002132566121179364
116.0,0.0021569151079372448,0.12055091301465036,0.17133553003603913,0.05416190122200602,0.0008117212433060866,0.002131497670131121
117.0,0.0022074746844459115,0.11924146575405084,0.17126723024212395,0.05370909687454127,0.0008172801506192549,0.002129858816613948
118.0,0.002257524025627614,0.11800228082837867,0.17118241409209708,0.053245079753059046,0.000822832419516553,0.002127646788284866
119.0,0.00230726401508021,0.11683573826209676,0.17108192651365858,0.05277215660593767,0.0008283309699010813,0.002124870322605961
120.0,0.0023568688267769354,0.11574309107834047,0.17096680278399282,0.05229273527555391,0.000833733703990738,0.0021215486885938196
121.0,0.002406481539829171,0.11472457813040311,0.17083823689543134,0.05180927133452278,0.0008390037565104171,0.002117710455770259
122.0,0.0024562113872007825,0.1137795479399283,0.17069754794482242,0.051324217167540764,0.0008441095956431259,0.0021133920905233973
123.0,0.0025061324467608804,0.11290658731059544,0.17054614607512475,0.05083997542706551,0.000849024987245041,0.002108636458807583
124.0,0.002556283556691846,0.11210364945216797,0.17038549931426547,0.05035885830001558,0.0008537288394426618,0.002103491307810865
